Instance name,  X location,  Y location,  Voltage 
A06_BH_top_wrapper_640, 1088.34, 540.96, 0.110616
A06_BH_top_wrapper_641, 1088.34, 540.96, 0.110616
TAP_4096, 1088.34, 540.96, 0.110616
FILLER_0_136_1924, 1088.34, 540.96, 0.110616
FILLER_0_136_1927, 1088.34, 540.96, 0.110616
FILLER_0_136_1943, 1088.34, 540.96, 0.110616
FILLER_0_134_1947, 1088.34, 533.12, 0.110621
FILLER_0_132_1947, 1088.34, 525.28, 0.110628
FILLER_0_130_1947, 1088.34, 517.44, 0.110635
FILLER_0_128_1947, 1088.34, 509.6, 0.110644
FILLER_0_126_1947, 1088.34, 501.76, 0.110656
FILLER_0_124_1947, 1088.34, 493.92, 0.11066
FILLER_0_122_1947, 1088.34, 486.08, 0.110668
FILLER_0_120_1947, 1088.34, 478.24, 0.110675
FILLER_0_118_1947, 1088.34, 470.4, 0.110682
FILLER_0_116_1947, 1088.34, 462.56, 0.110692
FILLER_0_114_1947, 1088.34, 454.72, 0.110692
FILLER_0_112_1947, 1088.34, 446.88, 0.110691
FILLER_0_110_1947, 1088.34, 439.04, 0.11069
FILLER_0_108_1947, 1088.34, 431.2, 0.110688
FILLER_0_106_1947, 1088.34, 423.36, 0.110693
FILLER_0_104_1947, 1088.34, 415.52, 0.110669
FILLER_0_102_1947, 1088.34, 407.68, 0.110654
FILLER_0_100_1947, 1088.34, 399.84, 0.110638
FILLER_0_98_1947, 1088.34, 392, 0.110618
FILLER_0_96_1947, 1088.34, 384.16, 0.11061
FILLER_0_94_1947, 1088.34, 376.32, 0.110572
FILLER_0_92_1947, 1088.34, 368.48, 0.11054
FILLER_0_90_1947, 1088.34, 360.64, 0.110522
FILLER_0_88_1947, 1088.34, 352.8, 0.110468
FILLER_0_86_1947, 1088.34, 344.96, 0.110426
FILLER_0_84_1947, 1088.34, 337.12, 0.110385
FILLER_0_82_1947, 1088.34, 329.28, 0.110328
FILLER_0_80_1947, 1088.34, 321.44, 0.110322
FILLER_0_78_1947, 1088.34, 313.6, 0.110209
FILLER_0_76_1947, 1088.34, 305.76, 0.110143
FILLER_0_74_1947, 1088.34, 297.92, 0.11006
FILLER_0_72_1947, 1088.34, 290.08, 0.109999
FILLER_0_70_1947, 1088.34, 282.24, 0.109908
FILLER_0_68_1947, 1088.34, 274.4, 0.109824
FILLER_0_66_1947, 1088.34, 266.56, 0.109741
FILLER_0_64_1947, 1088.34, 258.72, 0.109657
FILLER_0_62_1947, 1088.34, 250.88, 0.109574
FILLER_0_60_1947, 1088.34, 243.04, 0.109485
FILLER_0_58_1947, 1088.34, 235.2, 0.109399
FILLER_0_56_1947, 1088.34, 227.36, 0.109322
FILLER_0_54_1947, 1088.34, 219.52, 0.109218
FILLER_0_52_1947, 1088.34, 211.68, 0.109128
FILLER_0_50_1947, 1088.34, 203.84, 0.109035
FILLER_0_48_1947, 1088.34, 196, 0.10899
FILLER_0_46_1947, 1088.34, 188.16, 0.108841
FILLER_0_44_1947, 1088.34, 180.32, 0.108726
FILLER_0_42_1947, 1088.34, 172.48, 0.10862
FILLER_0_40_1947, 1088.34, 164.64, 0.108513
FILLER_0_38_1947, 1088.34, 156.8, 0.108418
FILLER_0_36_1947, 1088.34, 148.96, 0.108302
FILLER_0_34_1947, 1088.34, 141.12, 0.108192
FILLER_0_32_1947, 1088.34, 133.28, 0.108091
FILLER_0_30_1947, 1088.34, 125.44, 0.107994
FILLER_0_28_1947, 1088.34, 117.6, 0.107905
FILLER_0_26_1947, 1088.34, 109.76, 0.107806
FILLER_0_24_1947, 1088.34, 101.92, 0.107712
FILLER_0_22_1947, 1088.34, 94.08, 0.107631
FILLER_0_20_1947, 1088.34, 86.24, 0.107542
FILLER_0_18_1947, 1088.34, 78.4, 0.107464
FILLER_0_16_1947, 1088.34, 70.56, 0.107392
FILLER_0_14_1947, 1088.34, 62.72, 0.107332
FILLER_0_12_1947, 1088.34, 54.88, 0.107263
