net,length_um
net81,2217.47
net59,1960.55
net33,1713.68
core.adder_tree.sum_out\[7\],1559.99
core.adder_tree.sum_out\[4\],1526.03
core.adder_tree.sum_out\[5\],1513.31
core.adder_tree.sum_out\[6\],1465.29
core.adder_tree.sum_out\[3\],1462.65
net7,1443.52
core.adder_tree.sum_out\[2\],1428.525
net8,1428.1
core.adder_tree.sum_out\[8\],1411.46
core.adder_tree.sum_out\[1\],1357.73
core.adder_tree.sum_out\[9\],1323.23
net76,1293.37
core.adder_tree.sum_out\[11\],1258.96
core.adder_tree.sum_out\[0\],1258.45
clknet_0_clk,1218.99
core.adder_tree.sum_out\[10\],1214.24
net46,1174.33
net45,1167.67
net68,1128.01
net6,1113.32
net47,1085.04
core.active_count_en,1071.83
core.bgc_4.mode_row\[0\],1039.25
net78,1033.05
net42,1018.5
net71,1011.79
net24,1002.29
net66,996.71
net5,990.94
net41,982.66
net75,959.65
net25,959.4
core.bgc_12.mode_row\[0\],956.52
net55,946.67
net62,945.66
net60,917.4
net43,908.94
net80,895.81
net69,894.08
net73,888.74
net48,886.08
core.bgc_10.mode_row\[0\],881.13
net36,857.005
net30,855.8
net57,854.97
net65,844.5
net74,841.9
net79,839.87
net63,839.73
core.mode_row_g0,839.46
net67,834.77
net40,828.52
net49,824.7
net52,814.51
core.bgc_9._01_,808.36
net28,796.08
net38,788.14
net51,779.54
net77,773.91
net53,770.15
clknet_4_11__leaf_clk,746.64
clknet_4_2__leaf_clk,744.6
net72,739.53
net26,735.45
clknet_4_12__leaf_clk,730.17
clknet_4_10__leaf_clk,724.01
clknet_4_3__leaf_clk,721.16
clknet_4_8__leaf_clk,716.17
net39,706.95
net58,702.8
clknet_4_14__leaf_clk,701.56
core.bgc_0._01_,697.62
clknet_4_9__leaf_clk,695.4
clknet_4_13__leaf_clk,687.05
core.res_mem_inst.out_dec_inst.inc,676.52
net31,672.93
net34,669.6
core.bgc_5._01_,669.07
net50,664.09
clknet_4_15__leaf_clk,659.77
clknet_4_5__leaf_clk,637.21
core.bgc_1._01_,618.78
core.bgc_0._00_,615.43
clknet_4_1__leaf_clk,614.79
clknet_4_7__leaf_clk,614
