Instance name,  X location,  Y location,  Voltage 
A06_BH_top_wrapper_640, 1096.56, 544.88, -0.0321102
A06_BH_top_wrapper_641, 1096.56, 544.88, -0.0321102
FILLER_0_136_1943, 1096.56, 544.88, -0.0321102
A06_BH_top_wrapper_642, 1096.56, 537.04, -0.0322408
A06_BH_top_wrapper_643, 1096.56, 537.04, -0.0322408
A06_BH_top_wrapper_644, 1096.56, 537.04, -0.0322408
FILLER_0_134_1947, 1096.56, 537.04, -0.0322408
FILLER_0_135_1951, 1096.56, 537.04, -0.0322408
TAP_4014, 1096.56, 529.2, -0.0322714
FILLER_0_132_1947, 1096.56, 529.2, -0.0322714
FILLER_0_133_1951, 1096.56, 529.2, -0.0322714
FILLER_0_134_1951, 1096.56, 529.2, -0.0322714
FILLER_0_134_1954, 1096.56, 529.2, -0.0322714
TAP_3959, 1096.56, 521.36, -0.0323575
FILLER_0_130_1947, 1096.56, 521.36, -0.0323575
FILLER_0_131_1951, 1096.56, 521.36, -0.0323575
FILLER_0_132_1951, 1096.56, 521.36, -0.0323575
FILLER_0_132_1954, 1096.56, 521.36, -0.0323575
TAP_3904, 1096.56, 513.52, -0.032571
FILLER_0_128_1947, 1096.56, 513.52, -0.032571
FILLER_0_129_1951, 1096.56, 513.52, -0.032571
FILLER_0_130_1951, 1096.56, 513.52, -0.032571
FILLER_0_130_1954, 1096.56, 513.52, -0.032571
TAP_3849, 1096.56, 505.68, -0.0327137
FILLER_0_126_1947, 1096.56, 505.68, -0.0327137
FILLER_0_127_1951, 1096.56, 505.68, -0.0327137
FILLER_0_128_1951, 1096.56, 505.68, -0.0327137
FILLER_0_128_1954, 1096.56, 505.68, -0.0327137
TAP_3794, 1096.56, 497.84, -0.0327924
FILLER_0_124_1947, 1096.56, 497.84, -0.0327924
FILLER_0_125_1951, 1096.56, 497.84, -0.0327924
FILLER_0_126_1951, 1096.56, 497.84, -0.0327924
FILLER_0_126_1954, 1096.56, 497.84, -0.0327924
TAP_3739, 1096.56, 490, -0.032862
FILLER_0_122_1947, 1096.56, 490, -0.032862
FILLER_0_123_1951, 1096.56, 490, -0.032862
FILLER_0_124_1951, 1096.56, 490, -0.032862
FILLER_0_124_1954, 1096.56, 490, -0.032862
TAP_3684, 1096.56, 482.16, -0.0330804
FILLER_0_120_1947, 1096.56, 482.16, -0.0330804
