Instance name,  X location,  Y location,  Voltage 
TAP_4096, 1085.04, 544.88, 4.86144
FILLER_0_136_1924, 1085.04, 544.88, 4.86144
FILLER_0_136_1927, 1085.04, 544.88, 4.86144
FILLER_0_135_1919, 1085.04, 537.04, 4.86144
FILLER_0_133_1919, 1085.04, 529.2, 4.86144
FILLER_0_131_1919, 1085.04, 521.36, 4.86144
FILLER_0_129_1919, 1085.04, 513.52, 4.86144
FILLER_0_127_1919, 1085.04, 505.68, 4.86144
FILLER_0_125_1919, 1085.04, 497.84, 4.86144
FILLER_0_123_1919, 1085.04, 490, 4.86145
FILLER_0_121_1919, 1085.04, 482.16, 4.86146
FILLER_0_119_1919, 1085.04, 474.32, 4.86147
FILLER_0_117_1919, 1085.04, 466.48, 4.86148
FILLER_0_115_1919, 1085.04, 458.64, 4.86148
FILLER_0_113_1919, 1085.04, 450.8, 4.86151
FILLER_0_111_1919, 1085.04, 442.96, 4.86153
FILLER_0_109_1919, 1085.04, 435.12, 4.86155
FILLER_0_107_1919, 1085.04, 427.28, 4.86159
FILLER_0_105_1919, 1085.04, 419.44, 4.8616
FILLER_0_103_1919, 1085.04, 411.6, 4.86166
FILLER_0_101_1919, 1085.04, 403.76, 4.8617
FILLER_0_99_1919, 1085.04, 395.92, 4.86175
FILLER_0_97_1919, 1085.04, 388.08, 4.8618
FILLER_0_95_1919, 1085.04, 380.24, 4.86184
FILLER_0_93_1919, 1085.04, 372.4, 4.86191
FILLER_0_91_1919, 1085.04, 364.56, 4.86198
FILLER_0_89_1919, 1085.04, 356.72, 4.86204
FILLER_0_87_1919, 1085.04, 348.88, 4.86213
FILLER_0_85_1919, 1085.04, 341.04, 4.8622
FILLER_0_83_1919, 1085.04, 333.2, 4.86229
FILLER_0_81_1919, 1085.04, 325.36, 4.86234
FILLER_0_79_1919, 1085.04, 317.52, 4.86249
FILLER_0_77_1919, 1085.04, 309.68, 4.86259
FILLER_0_75_1919, 1085.04, 301.84, 4.86272
FILLER_0_73_1919, 1085.04, 294, 4.86283
FILLER_0_71_1919, 1085.04, 286.16, 4.86294
FILLER_0_69_1919, 1085.04, 278.32, 4.86308
FILLER_0_67_1919, 1085.04, 270.48, 4.8632
FILLER_0_65_1919, 1085.04, 262.64, 4.86333
FILLER_0_63_1919, 1085.04, 254.8, 4.86345
FILLER_0_61_1919, 1085.04, 246.96, 4.86358
FILLER_0_59_1919, 1085.04, 239.12, 4.86371
FILLER_0_57_1919, 1085.04, 231.28, 4.86384
FILLER_0_55_1919, 1085.04, 223.44, 4.86397
FILLER_0_53_1919, 1085.04, 215.6, 4.86411
FILLER_0_51_1919, 1085.04, 207.76, 4.86425
FILLER_0_49_1919, 1085.04, 199.92, 4.86433
FILLER_0_47_1919, 1085.04, 192.08, 4.86452
FILLER_0_45_1919, 1085.04, 184.24, 4.86468
FILLER_0_43_1919, 1085.04, 176.4, 4.86482
FILLER_0_41_1919, 1085.04, 168.56, 4.86497
FILLER_0_39_1919, 1085.04, 160.72, 4.86512
FILLER_0_37_1919, 1085.04, 152.88, 4.86525
FILLER_0_35_1919, 1085.04, 145.04, 4.8654
FILLER_0_33_1919, 1085.04, 137.2, 4.86555
FILLER_0_31_1919, 1085.04, 129.36, 4.86568
FILLER_0_29_1919, 1085.04, 121.52, 4.8658
FILLER_0_27_1919, 1085.04, 113.68, 4.86594
FILLER_0_25_1919, 1085.04, 105.84, 4.86606
FILLER_0_23_1919, 1085.04, 98, 4.86618
FILLER_0_21_1919, 1085.04, 90.16, 4.86628
FILLER_0_19_1919, 1085.04, 82.32, 4.86639
FILLER_0_17_1919, 1085.04, 74.48, 4.86649
FILLER_0_15_1919, 1085.04, 66.64, 4.86657
FILLER_0_13_1919, 1085.04, 58.8, 4.86667
FILLER_0_11_1919, 1085.04, 50.96, 4.86674
FILLER_0_9_1919, 1085.04, 43.12, 4.86682
FILLER_0_7_1919, 1085.04, 35.28, 4.86688
FILLER_0_5_1919, 1085.04, 27.44, 4.86693
FILLER_0_3_1919, 1085.04, 19.6, 4.86698
TAP_328, 1085.04, 11.76, 4.86702
FILLER_0_0_1924, 1085.04, 11.76, 4.86702
FILLER_0_0_1927, 1085.04, 11.76, 4.86702
FILLER_0_1_1919, 1085.04, 11.76, 4.86702
TAP_4013, 1060.04, 537.04, 4.86144
TAP_4095, 1060.04, 537.04, 4.86144
FILLER_0_134_1876, 1060.04, 537.04, 4.86144
FILLER_0_134_1880, 1060.04, 537.04, 4.86144
FILLER_0_134_1883, 1060.04, 537.04, 4.86144
FILLER_0_136_1889, 1060.04, 537.04, 4.86144
FILLER_0_136_1892, 1060.04, 537.04, 4.86144
TAP_3958, 1060.04, 529.2, 4.86144
FILLER_0_132_1876, 1060.04, 529.2, 4.86144
FILLER_0_132_1880, 1060.04, 529.2, 4.86144
FILLER_0_132_1883, 1060.04, 529.2, 4.86144
TAP_3903, 1060.04, 521.36, 4.86144
FILLER_0_130_1876, 1060.04, 521.36, 4.86144
FILLER_0_130_1880, 1060.04, 521.36, 4.86144
FILLER_0_130_1883, 1060.04, 521.36, 4.86144
TAP_3848, 1060.04, 513.52, 4.86143
FILLER_0_128_1876, 1060.04, 513.52, 4.86143
FILLER_0_128_1880, 1060.04, 513.52, 4.86143
FILLER_0_128_1883, 1060.04, 513.52, 4.86143
TAP_3793, 1060.04, 505.68, 4.86144
FILLER_0_126_1876, 1060.04, 505.68, 4.86144
FILLER_0_126_1880, 1060.04, 505.68, 4.86144
FILLER_0_126_1883, 1060.04, 505.68, 4.86144
TAP_3738, 1060.04, 497.84, 4.86143
FILLER_0_124_1876, 1060.04, 497.84, 4.86143
FILLER_0_124_1880, 1060.04, 497.84, 4.86143
FILLER_0_124_1883, 1060.04, 497.84, 4.86143
TAP_3683, 1060.04, 490, 4.86144
FILLER_0_122_1876, 1060.04, 490, 4.86144
FILLER_0_122_1880, 1060.04, 490, 4.86144
FILLER_0_122_1883, 1060.04, 490, 4.86144
TAP_3628, 1060.04, 482.16, 4.86145
FILLER_0_120_1876, 1060.04, 482.16, 4.86145
FILLER_0_120_1880, 1060.04, 482.16, 4.86145
FILLER_0_120_1883, 1060.04, 482.16, 4.86145
TAP_3573, 1060.04, 474.32, 4.86145
FILLER_0_118_1876, 1060.04, 474.32, 4.86145
FILLER_0_118_1880, 1060.04, 474.32, 4.86145
FILLER_0_118_1883, 1060.04, 474.32, 4.86145
TAP_3518, 1060.04, 466.48, 4.86146
FILLER_0_116_1876, 1060.04, 466.48, 4.86146
FILLER_0_116_1880, 1060.04, 466.48, 4.86146
FILLER_0_116_1883, 1060.04, 466.48, 4.86146
TAP_3463, 1060.04, 458.64, 4.86146
FILLER_0_114_1876, 1060.04, 458.64, 4.86146
FILLER_0_114_1880, 1060.04, 458.64, 4.86146
FILLER_0_114_1883, 1060.04, 458.64, 4.86146
TAP_3408, 1060.04, 450.8, 4.86148
FILLER_0_112_1876, 1060.04, 450.8, 4.86148
FILLER_0_112_1880, 1060.04, 450.8, 4.86148
FILLER_0_112_1883, 1060.04, 450.8, 4.86148
TAP_3353, 1060.04, 442.96, 4.86151
FILLER_0_110_1876, 1060.04, 442.96, 4.86151
FILLER_0_110_1880, 1060.04, 442.96, 4.86151
FILLER_0_110_1883, 1060.04, 442.96, 4.86151
TAP_3298, 1060.04, 435.12, 4.86153
