Instance name,  X location,  Y location,  Voltage 
A06_BH_top_wrapper_640, 1099.86, 540.96, 0.0315872
A06_BH_top_wrapper_641, 1099.86, 540.96, 0.0315872
A06_BH_top_wrapper_642, 1099.86, 540.96, 0.0315872
A06_BH_top_wrapper_643, 1099.86, 540.96, 0.0315872
A06_BH_top_wrapper_644, 1099.86, 540.96, 0.0315872
FILLER_0_135_1951, 1099.86, 540.96, 0.0315872
FILLER_0_136_1943, 1099.86, 540.96, 0.0315872
A06_BH_top_wrapper_639, 1099.86, 533.12, 0.0316698
TAP_4014, 1099.86, 533.12, 0.0316698
FILLER_0_133_1951, 1099.86, 533.12, 0.0316698
FILLER_0_134_1947, 1099.86, 533.12, 0.0316698
FILLER_0_134_1951, 1099.86, 533.12, 0.0316698
FILLER_0_134_1954, 1099.86, 533.12, 0.0316698
FILLER_0_135_1957, 1099.86, 533.12, 0.0316698
TAP_3959, 1099.86, 525.28, 0.0317306
FILLER_0_131_1951, 1099.86, 525.28, 0.0317306
FILLER_0_132_1947, 1099.86, 525.28, 0.0317306
FILLER_0_132_1951, 1099.86, 525.28, 0.0317306
FILLER_0_132_1954, 1099.86, 525.28, 0.0317306
FILLER_0_133_1959, 1099.86, 525.28, 0.0317306
TAP_3904, 1099.86, 517.44, 0.0319102
FILLER_0_129_1951, 1099.86, 517.44, 0.0319102
FILLER_0_130_1947, 1099.86, 517.44, 0.0319102
FILLER_0_130_1951, 1099.86, 517.44, 0.0319102
FILLER_0_130_1954, 1099.86, 517.44, 0.0319102
FILLER_0_131_1959, 1099.86, 517.44, 0.0319102
TAP_3849, 1099.86, 509.6, 0.0319854
FILLER_0_127_1951, 1099.86, 509.6, 0.0319854
FILLER_0_128_1947, 1099.86, 509.6, 0.0319854
FILLER_0_128_1951, 1099.86, 509.6, 0.0319854
FILLER_0_128_1954, 1099.86, 509.6, 0.0319854
FILLER_0_129_1959, 1099.86, 509.6, 0.0319854
TAP_3794, 1099.86, 501.76, 0.0322811
FILLER_0_125_1951, 1099.86, 501.76, 0.0322811
FILLER_0_126_1947, 1099.86, 501.76, 0.0322811
FILLER_0_126_1951, 1099.86, 501.76, 0.0322811
FILLER_0_126_1954, 1099.86, 501.76, 0.0322811
FILLER_0_127_1959, 1099.86, 501.76, 0.0322811
TAP_3739, 1099.86, 493.92, 0.0322305
FILLER_0_123_1951, 1099.86, 493.92, 0.0322305
FILLER_0_124_1947, 1099.86, 493.92, 0.0322305
FILLER_0_124_1951, 1099.86, 493.92, 0.0322305
FILLER_0_124_1954, 1099.86, 493.92, 0.0322305
FILLER_0_125_1959, 1099.86, 493.92, 0.0322305
TAP_3684, 1099.86, 486.08, 0.0324355
FILLER_0_121_1951, 1099.86, 486.08, 0.0324355
FILLER_0_122_1947, 1099.86, 486.08, 0.0324355
FILLER_0_122_1951, 1099.86, 486.08, 0.0324355
FILLER_0_122_1954, 1099.86, 486.08, 0.0324355
FILLER_0_123_1959, 1099.86, 486.08, 0.0324355
TAP_3629, 1099.86, 478.24, 0.0328216
FILLER_0_119_1951, 1099.86, 478.24, 0.0328216
FILLER_0_120_1947, 1099.86, 478.24, 0.0328216
FILLER_0_120_1951, 1099.86, 478.24, 0.0328216
FILLER_0_120_1954, 1099.86, 478.24, 0.0328216
FILLER_0_121_1959, 1099.86, 478.24, 0.0328216
TAP_3574, 1099.86, 470.4, 0.0332615
FILLER_0_117_1951, 1099.86, 470.4, 0.0332615
FILLER_0_118_1947, 1099.86, 470.4, 0.0332615
FILLER_0_118_1951, 1099.86, 470.4, 0.0332615
FILLER_0_118_1954, 1099.86, 470.4, 0.0332615
FILLER_0_119_1959, 1099.86, 470.4, 0.0332615
TAP_3519, 1099.86, 462.56, 0.033792
FILLER_0_115_1951, 1099.86, 462.56, 0.033792
FILLER_0_116_1947, 1099.86, 462.56, 0.033792
FILLER_0_116_1951, 1099.86, 462.56, 0.033792
FILLER_0_116_1954, 1099.86, 462.56, 0.033792
FILLER_0_117_1959, 1099.86, 462.56, 0.033792
TAP_3464, 1099.86, 454.72, 0.0342289
FILLER_0_113_1951, 1099.86, 454.72, 0.0342289
