net,length_um
net75,2542.84
bgc_0.count_en,1804.52
adder_tree.sum_out\[6\],1543.09
adder_tree.sum_out\[5\],1497.72
adder_tree.sum_out\[7\],1488.05
adder_tree.sum_out\[8\],1417.37
adder_tree.sum_out\[4\],1390.87
net50,1387.81
adder_tree.sum_out\[3\],1334.23
adder_tree.sum_out\[2\],1319.7
clknet_0_clk,1301.73
adder_tree.sum_out\[9\],1276.17
adder_tree.sum_out\[10\],1221.8
mode_row_g1,1204.69
adder_tree.sum_out\[11\],1203.17
adder_tree.sum_out\[1\],1160.77
net9,1130.75
net24,1119.75
mode_row_g0,1118.01
adder_tree.sum_out\[0\],1097.58
net6,1044.95
mode_row_g3,1013.17
net5,978.01
net60,943.36
net32,932.11
net55,913.7
net34,909.87
net62,905.44
net40,887.9
net38,881.6
net54,878.99
net8,863.36
net7,844.88
net18,824.9
net74,823.89
net68,820.48
net41,819.86
net39,815.92
net46,807.85
net45,807.33
net35,796.485
net66,793.92
net53,772.59
bgc_0._01_,769.67
net29,764.64
net64,762.23
net72,756.88
net63,756.17
bgc_4._00_,744.03
net70,742.08
net44,740.85
net37,738.71
net69,735.2
net58,734.49
net36,729.81
net51,729.34
net52,728.93
net49,727.4
net48,722.55
net27,719.38
bgc_1._01_,713.27
net17,711.74
net67,703.84
net73,699.36
clknet_4_12__leaf_clk,694.89
net23,694.36
net16,692.03
net25,690.02
net47,688.51
bgc_12._00_,686.4
clknet_4_15__leaf_clk,684.1
net71,680.51
clknet_4_13__leaf_clk,680.23
clknet_4_6__leaf_clk,678.65
net43,673.67
bgc_6._01_,662.46
bgc_11._00_,649.36
net31,647.86
net65,645.95
clknet_4_2__leaf_clk,640.27
net20,640.13
bgc_7._00_,638.75
net56,637.81
clknet_4_0__leaf_clk,636.63
net30,631.585
net28,631.14
clknet_4_11__leaf_clk,625.1
clknet_4_1__leaf_clk,620.67
clknet_4_7__leaf_clk,608.04
net33,604.37
bgc_0.final_counter.on_switch,602.4
res_mem_inst.out_dec_inst.inc,602.09
clknet_4_4__leaf_clk,601.12
net57,600.48
net21,594.18
bgc_2._01_,591.75
clknet_4_10__leaf_clk,590.89
bgc_5._01_,590.01
bgc_3._01_,589.36
clknet_4_9__leaf_clk,581.98
clknet_4_5__leaf_clk,577.93
clknet_4_8__leaf_clk,573.37
net15,572.67
clk,571.62
net22,571.13
mode_row_g2,569.06
clknet_4_14__leaf_clk,568.03
bgc_10._01_,563.65
bgc_13._01_,562.27
clknet_4_3__leaf_clk,557.49
bgc_13._00_,555.67
bgc_4._01_,550.1
bgc_9._01_,546.34
net13,546.1
mode_col_g2,543.4
bgc_12._01_,542.42
bgc_15._00_,532.94
bgc_8._01_,524.34
bgc_3._00_,523.85
net1,523.29
bgc_8._00_,517.69
net42,513.6
net19,500.06
net14,499.72
bgc_7._01_,498.28
bgc_11._01_,487.54
bgc_15._01_,485.71
bgc_14._01_,484.94
res_mem_inst.group_active\[0\],483.99
net59,479.09
net11,472.13
res_mem_inst._022_,468.97
res_mem_inst.group_active\[1\],467.03
res_mem_inst._023_,462.62
net26,417.75
net61,406.29
mode_col_g3,388.84
res_mem_inst.group_active\[2\],385.88
res_mem_inst._025_,385.12
bgc_0._00_,383.29
net2,360.23
net10,356.21
res_mem_inst._041_,345.21
bgc_10._03_,338.11
res_mem_inst._024_,319.53
bgc_9._00_,311.1
bgc_2._00_,308.35
res_mem_inst.slot\[8\].slot_reg._042_,289.15
bgc_1.comp_col.x,286.77
bgc_1.lfsr_row._25_,284.98
res_mem_inst._008_,281.83
bgc_13.final_counter._16_,279.59
res_mem_inst.slot\[10\].slot_reg._042_,279.27
bgc_2.row_reg._041_,278.72
bgc_2.row_reg._042_,277.39
lfsr_enabler.timer_done,275.62
bgc_12.final_counter._16_,273.63
bgc_10.row_reg._041_,273.37
res_mem_inst.slot\[1\].slot_reg._042_,273.27
bgc_8.lfsr_row._25_,273.22
res_mem_inst.slot\[2\].slot_reg._043_,271.95
bgc_12.lfsr_row._25_,265.48
res_mem_inst.slot\[2\].slot_reg._042_,265.48
bgc_3.lfsr_col._25_,264.49
bgc_15.lfsr_row._25_,263.75
bgc_5.row_reg._041_,263.29
bgc_0.row_reg._042_,262.68
res_mem_inst.slot\[2\].slot_reg._041_,262.17
bgc_6._00_,261.77
res_mem_inst._048_,260.6
bgc_10.row_reg._042_,257.79
res_mem_inst.slot\[11\].slot_reg._041_,257.08
res_mem_inst.slot\[8\].slot_reg._041_,255.71
bgc_14.final_counter._16_,255.66
res_mem_inst.slot\[0\].slot_reg._042_,255.35
res_mem_inst.slot\[6\].slot_reg._042_,254.05
bgc_14.row_reg._042_,253.67
res_mem_inst.slot\[0\].slot_reg._041_,253.31
res_mem_inst.slot\[9\].slot_reg._042_,253.06
res_mem_inst.slot\[6\].slot_reg._041_,252.75
bgc_3.row_reg._041_,252.22
bgc_7.lfsr_row._25_,251.48
bgc_1.row_reg._041_,250.77
bgc_4.lfsr_col._25_,250.56
res_mem_inst.slot\[1\].slot_reg._041_,250.41
bgc_9.lfsr_row._25_,249.44
res_mem_inst._006_,248.74
bgc_5.lfsr_row._25_,247.92
clknet_leaf_68_clk,247.36
res_mem_inst.slot\[3\].slot_reg._041_,246.65
bgc_1.col_reg._042_,246.39
bgc_5.row_reg._042_,245.37
bgc_1.lfsr_col._25_,244.89
res_mem_inst.slot\[10\].slot_reg._041_,244.76
bgc_8.lfsr_col._25_,244.71
res_mem_inst.slot\[5\].slot_reg._041_,244.66
bgc_2.col_reg._041_,244.15
bgc_13.row_reg._042_,244.1
clknet_leaf_116_clk,243.39
bgc_7.row_reg._041_,242.75
bgc_5.lfsr_col._25_,241.6
bgc_13.row_reg._041_,241.48
bgc_13.lfsr_row._25_,239.75
bgc_1.row_reg._042_,238.6
bgc_7.lfsr_col._25_,238.5
res_mem_inst._009_,238.1
bgc_4.row_reg._043_,237.66
bgc_13.lfsr_col._25_,237.53
bgc_6.col_reg._042_,237.12
clknet_leaf_110_clk,236.87
bgc_4.lfsr_row._25_,236.72
