Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error,Correlation Score
0,12'h000,1984.0000,3968,0.0000
1,12'h001,0.5000,1,0.1307
2,12'h002,0.7500,1,0.1307
3,12'h003,0.2500,1,0.1306
4,12'h004,0.8750,1,0.1307
5,12'h005,0.3750,1,0.1305
6,12'h006,0.6250,1,0.1307
7,12'h007,0.1250,1,0.1306
8,12'h008,0.9375,1,0.1306
9,12'h009,0.4375,1,0.1305
10,12'h00A,0.6875,1,0.1306
11,12'h00B,0.1875,1,0.1305
12,12'h00C,0.8125,1,0.1306
13,12'h00D,0.3125,1,0.1305
14,12'h00E,0.5625,1,0.1306
15,12'h00F,0.0625,1,0.1305
16,12'h010,0.9688,1,0.1304
17,12'h011,0.4688,1,0.1306
18,12'h012,0.7188,1,0.1305
19,12'h013,0.2188,1,0.1306
20,12'h014,0.8438,1,0.1305
21,12'h015,0.3438,1,0.1306
22,12'h016,0.5938,1,0.1305
23,12'h017,0.0938,1,0.1305
24,12'h018,0.9062,1,0.1305
25,12'h019,0.4062,1,0.1306
26,12'h01A,0.6562,1,0.1305
27,12'h01B,0.1562,1,0.1305
28,12'h01C,0.7812,1,0.1305
29,12'h01D,0.2812,1,0.1305
30,12'h01E,0.5312,1,0.1304
31,12'h01F,0.0312,1,0.1303
32,12'h020,0.9688,1,0.1302
33,12'h021,0.4688,1,0.1305
34,12'h022,0.7188,1,0.1305
35,12'h023,0.2188,1,0.1305
36,12'h024,0.8438,1,0.1305
37,12'h025,0.3438,1,0.1305
38,12'h026,0.5938,1,0.1306
39,12'h027,0.0938,1,0.1306
40,12'h028,0.9062,1,0.1305
41,12'h029,0.4062,1,0.1305
42,12'h02A,0.6562,1,0.1305
43,12'h02B,0.1562,1,0.1305
44,12'h02C,0.7812,1,0.1305
45,12'h02D,0.2812,1,0.1305
46,12'h02E,0.5312,1,0.1306
47,12'h02F,0.0312,1,0.1305
48,12'h030,0.9375,1,0.1305
49,12'h031,0.4375,1,0.1306
50,12'h032,0.6875,1,0.1305
51,12'h033,0.1875,1,0.1305
52,12'h034,0.8125,1,0.1305
53,12'h035,0.3125,1,0.1305
54,12'h036,0.5625,1,0.1305
55,12'h037,0.0625,1,0.1305
56,12'h038,0.8750,1,0.1306
57,12'h039,0.3750,1,0.1306
58,12'h03A,0.6250,1,0.1305
59,12'h03B,0.1250,1,0.1305
60,12'h03C,0.7500,1,0.1305
61,12'h03D,0.2500,1,0.1304
62,12'h03E,0.5000,1,0.1304
63,12'h03F,0.0000,0,0.1302
64,12'h040,0.9688,1,0.1302
65,12'h041,0.4688,1,0.1306
