Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error
0,12'h000,2056.3750,4022
1,12'h001,0.5000,1
2,12'h002,0.7500,1
3,12'h003,0.2500,1
4,12'h004,0.8750,1
5,12'h005,0.3750,1
6,12'h006,0.6250,1
7,12'h007,0.1250,1
8,12'h008,0.9375,1
9,12'h009,0.4375,1
10,12'h00A,0.6875,1
11,12'h00B,0.1875,1
12,12'h00C,0.8125,1
13,12'h00D,0.3125,1
14,12'h00E,0.5625,1
15,12'h00F,0.0625,1
16,12'h010,0.9688,1
17,12'h011,0.4688,1
18,12'h012,0.7188,1
19,12'h013,0.2188,1
20,12'h014,0.8438,1
21,12'h015,0.3438,1
22,12'h016,0.5938,1
23,12'h017,0.0938,1
24,12'h018,0.9062,1
25,12'h019,0.4062,1
26,12'h01A,0.6562,1
27,12'h01B,0.1562,1
28,12'h01C,0.7812,1
29,12'h01D,0.2812,1
30,12'h01E,0.5312,1
31,12'h01F,0.0312,1
32,12'h020,1.0000,1
33,12'h021,0.5000,1
34,12'h022,0.7500,1
35,12'h023,0.2188,1
36,12'h024,0.8438,1
37,12'h025,0.3750,1
38,12'h026,0.5938,1
39,12'h027,0.1250,1
40,12'h028,0.9062,1
41,12'h029,0.4062,1
42,12'h02A,0.6875,1
43,12'h02B,0.1875,1
44,12'h02C,0.7812,1
45,12'h02D,0.3125,1
46,12'h02E,0.5625,1
47,12'h02F,0.0625,1
48,12'h030,0.9375,1
49,12'h031,0.4688,1
50,12'h032,0.6875,1
51,12'h033,0.1875,1
52,12'h034,0.8438,1
53,12'h035,0.3438,1
54,12'h036,0.5625,1
55,12'h037,0.0938,1
56,12'h038,0.9062,1
57,12'h039,0.4062,1
58,12'h03A,0.6562,1
59,12'h03B,0.1562,1
60,12'h03C,0.7812,1
61,12'h03D,0.2812,1
62,12'h03E,0.5000,1
63,12'h03F,0.0000,0
64,12'h040,1.0000,1
65,12'h041,0.5000,1
66,12'h042,0.7500,1
