seed_index,seed_hex,B=512_count,B=512_expected,B=512_abs_error,B=1024_count,B=1024_expected,B=1024_abs_error,B=1536_count,B=1536_expected,B=1536_abs_error,B=2048_count,B=2048_expected,B=2048_abs_error,B=2560_count,B=2560_expected,B=2560_abs_error,B=3072_count,B=3072_expected,B=3072_abs_error,B=3584_count,B=3584_expected,B=3584_abs_error,mean_abs_error,mean_rel_error_pct
0,0x8fc,106,62.6221,43.3779,168,125.122,42.8779,230,187.622,42.3779,280,250.122,29.8779,342,312.622,29.3779,392,375.122,16.8779,441,437.622,3.37793,29.7351,21.8198
1,0xb9d,69,62.6221,6.37793,127,125.122,1.87793,180,187.622,7.62207,253,250.122,2.87793,312,312.622,0.62207,380,375.122,4.87793,453,437.622,15.3779,5.66197,3.13029
2,0x594,56,62.6221,6.62207,120,125.122,5.12207,184,187.622,3.62207,249,250.122,1.12207,314,312.622,1.37793,378,375.122,2.87793,443,437.622,5.37793,3.73172,2.78347
3,0xea1,59,62.6221,3.62207,123,125.122,2.12207,187,187.622,0.62207,247,250.122,3.12207,312,312.622,0.62207,372,375.122,3.12207,433,437.622,4.62207,2.55064,1.59246
4,0x1e,99,62.6221,36.3779,157,125.122,31.8779,219,187.622,31.3779,271,250.122,20.8779,328,312.622,15.3779,384,375.122,8.87793,435,437.622,2.62207,21.0557,16.6464
5,0x982,105,62.6221,42.3779,167,125.122,41.8779,230,187.622,42.3779,279,250.122,28.8779,341,312.622,28.3779,391,375.122,15.8779,439,437.622,1.37793,28.7351,21.2714
6,0xdf1,50,62.6221,12.6221,114,125.122,11.1221,175,187.622,12.6221,243,250.122,7.12207,307,312.622,5.62207,373,375.122,2.12207,442,437.622,4.37793,7.94434,5.99774
7,0x83f,100,62.6221,37.3779,162,125.122,36.8779,222,187.622,34.3779,275,250.122,24.8779,337,312.622,24.3779,389,375.122,13.8779,441,437.622,3.37793,25.0208,18.5286
8,0xf54,84,62.6221,21.3779,143,125.122,17.8779,204,187.622,16.3779,260,250.122,9.87793,318,312.622,5.37793,377,375.122,1.87793,434,437.622,3.62207,10.9128,9.16477
9,0xf96,53,62.6221,9.62207,116,125.122,9.12207,181,187.622,6.62207,241,250.122,9.12207,305,312.622,7.62207,367,375.122,8.12207,428,437.622,9.62207,8.55064,5.23348
10,0x2ba,66,62.6221,3.37793,127,125.122,1.87793,190,187.622,2.37793,249,250.122,1.12207,310,312.622,2.62207,371,375.122,4.12207,431,437.622,6.62207,3.1603,1.72312
11,0xa94,61,62.6221,1.62207,126,125.122,0.87793,191,187.622,3.37793,251,250.122,0.87793,316,312.622,3.37793,376,375.122,0.87793,436,437.622,1.62207,1.80483,1.01836
12,0x514,54,62.6221,8.62207,116,125.122,9.12207,181,187.622,6.62207,240,250.122,10.1221,302,312.622,10.6221,364,375.122,11.1221,423,437.622,14.6221,10.1221,5.47703
13,0x875,64,62.6221,1.37793,127,125.122,1.87793,192,187.622,4.37793,253,250.122,2.87793,316,312.622,3.37793,379,375.122,3.87793,439,437.622,1.37793,2.73507,1.37349
14,0xb37,60,62.6221,2.62207,125,125.122,0.12207,193,187.622,5.37793,253,250.122,2.87793,318,312.622,5.37793,381,375.122,5.87793,440,437.622,2.37793,3.51911,1.73318
15,0xc9b,42,62.6221,20.6221,104,125.122,21.1221,169,187.622,18.6221,235,250.122,15.1221,297,312.622,15.6221,367,375.122,8.12207,434,437.622,3.62207,14.6935,10.539
16,0x418,58,62.6221,4.62207,114,125.122,11.1221,172,187.622,15.6221,245,250.122,5.12207,302,312.622,10.6221,376,375.122,0.87793,449,437.622,11.3779,8.48089,4.69654
17,0x133,67,62.6221,4.37793,130,125.122,4.87793,195,187.622,7.37793,254,250.122,3.87793,316,312.622,3.37793,377,375.122,1.87793,437,437.622,0.62207,3.76995,2.58509
18,0x930,64,62.6221,1.37793,127,125.122,1.87793,191,187.622,3.37793,253,250.122,2.87793,316,312.622,3.37793,379,375.122,3.87793,441,437.622,3.37793,2.87793,1.36263
19,0x549,65,62.6221,2.37793,127,125.122,1.87793,191,187.622,3.37793,252,250.122,1.87793,314,312.622,1.37793,377,375.122,1.87793,438,437.622,0.37793,1.87793,1.26816
20,0x56a,55,62.6221,7.62207,117,125.122,8.12207,184,187.622,3.62207,246,250.122,4.12207,308,312.622,4.62207,374,375.122,1.12207,435,437.622,2.62207,4.55064,3.51688
21,0x956,62,62.6221,0.62207,126,125.122,0.87793,193,187.622,5.37793,254,250.122,3.87793,318,312.622,5.37793,382,375.122,6.87793,442,437.622,4.37793,3.91281,1.52371
22,0x3d2,57,62.6221,5.62207,119,125.122,6.12207,181,187.622,6.62207,246,250.122,4.12207,307,312.622,5.62207,372,375.122,3.12207,436,437.622,1.62207,4.6935,3.14992
23,0x83,54,62.6221,8.62207,118,125.122,7.12207,184,187.622,3.62207,247,250.122,3.12207,310,312.622,2.62207,375,375.122,0.12207,437,437.622,0.62207,3.6935,3.37895
24,0x2c3,39,62.6221,23.6221,101,125.122,24.1221,163,187.622,24.6221,233,250.122,17.1221,294,312.622,18.6221,364,375.122,11.1221,434,437.622,3.62207,17.5506,12.3884
25,0xed8,43,62.6221,19.6221,105,125.122,20.1221,170,187.622,17.6221,237,250.122,13.1221,299,312.622,13.6221,369,375.122,6.12207,437,437.622,0.62207,12.9792,9.74088
26,0xf71,42,62.6221,20.6221,105,125.122,20.1221,168,187.622,19.6221,236,250.122,14.1221,299,312.622,13.6221,368,375.122,7.12207,437,437.622,0.62207,13.6935,10.2165
27,0x55,104,62.6221,41.3779,168,125.122,42.8779,231,187.622,43.3779,281,250.122,30.8779,344,312.622,31.3779,394,375.122,18.8779,443,437.622,5.37793,30.5922,21.7297
28,0xa74,55,62.6221,7.62207,117,125.122,8.12207,182,187.622,5.62207,244,250.122,6.12207,306,312.622,6.62207,371,375.122,4.12207,432,437.622,5.62207,6.26493,4.08697
29,0xc76,80,62.6221,17.3779,139,125.122,13.8779,202,187.622,14.3779,258,250.122,7.87793,316,312.622,3.37793,377,375.122,1.87793,434,437.622,3.62207,8.91281,7.43767
30,0x7a5,57,62.6221,5.62207,118,125.122,7.12207,180,187.622,7.62207,245,250.122,5.12207,306,312.622,6.62207,371,375.122,4.12207,436,437.622,1.62207,5.40778,3.48113
31,0x562,59,62.6221,3.62207,119,125.122,6.12207,181,187.622,6.62207,244,250.122,6.12207,304,312.622,8.62207,368,375.122,7.12207,431,437.622,6.62207,6.40778,3.26054
32,0x113,53,62.6221,9.62207,116,125.122,9.12207,179,187.622,8.62207,246,250.122,4.12207,308,312.622,4.62207,375,375.122,0.12207,442,437.622,4.37793,5.80148,4.48725
33,0x57c,71,62.6221,8.37793,132,125.122,6.87793,196,187.622,8.37793,254,250.122,3.87793,316,312.622,3.37793,376,375.122,0.87793,435,437.622,2.62207,4.91281,3.82928
34,0x3d,54,62.6221,8.62207,121,125.122,4.12207,184,187.622,3.62207,250,250.122,0.12207,317,312.622,4.37793,379,375.122,3.87793,445,437.622,7.37793,4.58887,3.30889
35,0x6a4,60,62.6221,2.62207,124,125.122,1.12207,187,187.622,0.62207,251,250.122,0.87793,315,312.622,2.37793,378,375.122,2.87793,442,437.622,4.37793,2.12542,1.18496
36,0xd74,58,62.6221,4.62207,120,125.122,5.12207,182,187.622,5.62207,245,250.122,5.12207,307,312.622,5.62207,370,375.122,5.12207,433,437.622,4.62207,5.12207,2.96269
37,0xe81,54,62.6221,8.62207,116,125.122,9.12207,178,187.622,9.62207,245,250.122,5.12207,308,312.622,4.62207,375,375.122,0.12207,443,437.622,5.37793,6.08719,4.42502
38,0x489,56,62.6221,6.62207,120,125.122,5.12207,186,187.622,1.62207,248,250.122,2.12207,312,312.622,0.62207,375,375.122,0.12207,437,437.622,0.62207,2.40778,2.39356
39,0xa6b,57,62.6221,5.62207,118,125.122,7.12207,178,187.622,9.62207,239,250.122,11.1221,301,312.622,11.6221,361,375.122,14.1221,422,437.622,15.6221,10.6935,5.04243
40,0xeb6,54,62.6221,8.62207,116,125.122,9.12207,180,187.622,7.62207,246,250.122,4.12207,308,312.622,4.62207,376,375.122,0.87793,443,437.622,5.37793,5.7666,4.24441
41,0x921,53,62.6221,9.62207,113,125.122,12.1221,169,187.622,18.6221,239,250.122,11.1221,299,312.622,13.6221,366,375.122,9.12207,436,437.622,1.62207,10.8364,6.65503
42,0xd8f,106,62.6221,43.3779,168,125.122,42.8779,230,187.622,42.3779,280,250.122,29.8779,342,312.622,29.3779,392,375.122,16.8779,441,437.622,3.37793,29.7351,21.8198
43,0x24,56,62.6221,6.62207,114,125.122,11.1221,174,187.622,13.6221,246,250.122,4.12207,303,312.622,9.62207,377,375.122,1.87793,449,437.622,11.3779,8.33803,4.93578
44,0x8f7,43,62.6221,19.6221,104,125.122,21.1221,162,187.622,25.6221,233,250.122,17.1221,294,312.622,18.6221,363,375.122,12.1221,434,437.622,3.62207,16.8364,11.2476
45,0x499,49,62.6221,13.6221,105,125.122,20.1221,161,187.622,26.6221,235,250.122,15.1221,292,312.622,20.6221,365,375.122,10.1221,439,437.622,1.37793,15.3729,9.66851
46,0xe38,63,62.6221,0.37793,122,125.122,3.12207,177,187.622,10.6221,250,250.122,0.12207,309,312.622,3.62207,378,375.122,2.87793,451,437.622,13.3779,4.87458,1.97025
47,0xbaa,68,62.6221,5.37793,129,125.122,3.87793,191,187.622,3.37793,250,250.122,0.12207,311,312.622,1.62207,371,375.122,4.12207,431,437.622,6.62207,3.58887,2.38105
48,0x9,93,62.6221,30.3779,152,125.122,26.8779,211,187.622,23.3779,269,250.122,18.8779,329,312.622,16.3779,387,375.122,11.8779,445,437.622,7.37793,19.3065,14.2986
49,0xb3b,45,62.6221,17.6221,106,125.122,19.1221,167,187.622,20.6221,233,250.122,17.1221,295,312.622,17.6221,361,375.122,14.1221,427,437.622,10.6221,16.6935,10.4412
50,0x434,45,62.6221,17.6221,106,125.122,19.1221,171,187.622,16.6221,237,250.122,13.1221,298,312.622,14.6221,367,375.122,8.12207,432,437.622,5.62207,13.5506,9.3794
51,0x740,53,62.6221,9.62207,115,125.122,10.1221,177,187.622,10.6221,245,250.122,5.12207,308,312.622,4.62207,375,375.122,0.12207,443,437.622,5.37793,6.51576,4.84346
52,0x569,64,62.6221,1.37793,128,125.122,2.87793,193,187.622,5.37793,254,250.122,3.87793,318,312.622,5.37793,380,375.122,4.87793,441,437.622,3.37793,3.87793,1.81568
53,0x397,94,62.6221,31.3779,151,125.122,25.8779,209,187.622,21.3779,264,250.122,13.8779,321,312.622,8.37793,377,375.122,1.87793,432,437.622,5.62207,15.4842,13.171
54,0xeee,72,62.6221,9.37793,136,125.122,10.8779,200,187.622,12.3779,259,250.122,8.87793,323,312.622,10.3779,383,375.122,7.87793,444,437.622,6.37793,9.44936,5.81331
55,0xdf1,50,62.6221,12.6221,114,125.122,11.1221,175,187.622,12.6221,243,250.122,7.12207,307,312.622,5.62207,373,375.122,2.12207,442,437.622,4.37793,7.94434,5.99774
56,0x7a6,64,62.6221,1.37793,127,125.122,1.87793,190,187.622,2.37793,251,250.122,0.87793,315,312.622,2.37793,375,375.122,0.12207,436,437.622,1.62207,1.51911,0.926216
57,0xb79,49,62.6221,13.6221,113,125.122,12.1221,177,187.622,10.6221,240,250.122,10.1221,304,312.622,8.62207,367,375.122,8.12207,429,437.622,8.62207,10.2649,6.86324
58,0xfa4,58,62.6221,4.62207,121,125.122,4.12207,185,187.622,2.62207,247,250.122,3.12207,310,312.622,2.62207,374,375.122,1.12207,437,437.622,0.62207,2.6935,2.08587
59,0xe27,50,62.6221,12.6221,117,125.122,8.12207,183,187.622,4.62207,245,250.122,5.12207,313,312.622,0.37793,374,375.122,1.12207,437,437.622,0.62207,4.65862,4.53154
60,0xc46,60,62.6221,2.62207,127,125.122,1.87793,192,187.622,4.37793,252,250.122,1.87793,320,312.622,7.37793,378,375.122,2.87793,439,437.622,1.37793,3.19852,1.7449
61,0x563,63,62.6221,0.37793,128,125.122,2.87793,193,187.622,5.37793,255,250.122,4.87793,320,312.622,7.37793,381,375.122,5.87793,442,437.622,4.37793,4.44936,1.80679
62,0xb3d,48,62.6221,14.6221,111,125.122,14.1221,174,187.622,13.6221,240,250.122,10.1221,303,312.622,9.62207,370,375.122,5.12207,436,437.622,1.62207,9.83636,7.25108
63,0xabd,49,62.6221,13.6221,112,125.122,13.1221,177,187.622,10.6221,240,250.122,10.1221,303,312.622,9.62207,368,375.122,7.12207,431,437.622,6.62207,10.1221,6.91974
64,0x2af,49,62.6221,13.6221,113,125.122,12.1221,179,187.622,8.62207,241,250.122,9.12207,304,312.622,8.62207,369,375.122,6.12207,431,437.622,6.62207,9.26493,6.51239
65,0x9af,54,62.6221,8.62207,117,125.122,8.12207,178,187.622,9.62207,243,250.122,7.12207,307,312.622,5.62207,370,375.122,5.12207,435,437.622,2.62207,6.6935,4.57122
66,0x7f7,58,62.6221,4.62207,120,125.122,5.12207,179,187.622,8.62207,245,250.122,5.12207,307,312.622,5.62207,369,375.122,6.12207,434,437.622,3.62207,5.55064,3.19655
67,0x115,102,62.6221,39.3779,164,125.122,38.8779,223,187.622,35.3779,276,250.122,25.8779,337,312.622,24.3779,387,375.122,11.8779,438,437.622,0.37793,25.1636,19.1724
